date,region,resource_type,usage_cpu,usage_storage,users_active
08-01-2023,North Europe,Container,69,753,426
08-01-2023,Southeast Asia,VM,97,1009,298
08-01-2023,Southeast Asia,Storage,74,1413,393
08-01-2023,Southeast Asia,Container,84,1456,368
09-01-2023,East US,VM,85,660,267
09-01-2023,East US,Storage,82,897,476
09-01-2023,East US,Container,97,1915,334
09-01-2023,West US,VM,52,900,327
09-01-2023,West US,Storage,82,1187,221
09-01-2023,West US,Container,95,537,429
09-01-2023,North Europe,VM,94,1062,463
09-01-2023,North Europe,Storage,76,526,425
09-01-2023,North Europe,Container,70,1297,296
09-01-2023,Southeast Asia,VM,77,1378,346
09-01-2023,Southeast Asia,Storage,53,1046,391
09-01-2023,Southeast Asia,Container,98,516,371
10-01-2023,East US,VM,77,657,245
10-01-2023,East US,Storage,55,598,432
10-01-2023,East US,Container,86,779,380
10-01-2023,West US,VM,80,1622,387
10-01-2023,West US,Storage,82,1639,390
10-01-2023,West US,Container,70,1427,360
10-01-2023,North Europe,VM,52,627,217
10-01-2023,North Europe,Storage,74,1065,257
10-01-2023,North Europe,Container,52,1185,479
10-01-2023,Southeast Asia,VM,99,1811,350
10-01-2023,Southeast Asia,Storage,51,654,472
10-01-2023,Southeast Asia,Container,89,1916,498
11-01-2023,East US,VM,97,1562,369
11-01-2023,East US,Storage,75,1420,212
11-01-2023,East US,Container,56,535,372
11-01-2023,West US,VM,69,820,463
11-01-2023,West US,Storage,95,899,341
11-01-2023,West US,Container,61,970,342
11-01-2023,North Europe,VM,77,1877,487
11-01-2023,North Europe,Storage,72,1353,250
11-01-2023,North Europe,Container,74,1074,389
11-01-2023,Southeast Asia,VM,71,813,257
11-01-2023,Southeast Asia,Storage,71,804,379
11-01-2023,Southeast Asia,Container,91,1337,470
12-01-2023,East US,VM,92,943,300
12-01-2023,East US,Storage,82,763,252
12-01-2023,East US,Container,93,504,302
12-01-2023,West US,VM,53,1273,246
12-01-2023,West US,Storage,84,1322,343
12-01-2023,West US,Container,62,869,323
12-01-2023,North Europe,VM,91,1156,319
12-01-2023,North Europe,Storage,68,1581,428
12-01-2023,North Europe,Container,75,616,478
12-01-2023,Southeast Asia,VM,58,1512,328
12-01-2023,Southeast Asia,Storage,50,1301,295
12-01-2023,Southeast Asia,Container,97,987,436
13-01-2023,East US,VM,50,1795,388
13-01-2023,East US,Storage,88,1203,268
13-01-2023,East US,Container,71,1360,446
13-01-2023,West US,VM,52,1599,353
13-01-2023,West US,Storage,65,1958,285
13-01-2023,West US,Container,78,1743,268
13-01-2023,North Europe,VM,96,1508,293
13-01-2023,North Europe,Storage,95,1457,403
13-01-2023,North Europe,Container,65,717,238
13-01-2023,Southeast Asia,VM,85,1812,453
13-01-2023,Southeast Asia,Storage,79,856,222
13-01-2023,Southeast Asia,Container,59,1623,489
14-01-2023,East US,VM,80,1261,346
14-01-2023,East US,Storage,81,1268,203
14-01-2023,East US,Container,65,1291,446
14-01-2023,West US,VM,51,996,359
14-01-2023,West US,Storage,76,1351,351
14-01-2023,West US,Container,61,1189,362
14-01-2023,North Europe,VM,82,1456,378
14-01-2023,North Europe,Storage,92,1791,264
14-01-2023,North Europe,Container,82,1691,242
14-01-2023,Southeast Asia,VM,93,784,211
14-01-2023,Southeast Asia,Storage,80,1825,452
14-01-2023,Southeast Asia,Container,99,534,414
15-01-2023,East US,VM,66,589,463
15-01-2023,East US,Storage,78,1469,289
15-01-2023,East US,Container,83,614,304
15-01-2023,West US,VM,56,1719,313
15-01-2023,West US,Storage,94,1598,416
15-01-2023,West US,Container,70,1520,448
15-01-2023,North Europe,VM,85,1917,391
15-01-2023,North Europe,Storage,84,1622,235
15-01-2023,North Europe,Container,67,1508,295
15-01-2023,Southeast Asia,VM,73,1162,389
15-01-2023,Southeast Asia,Storage,81,536,467
15-01-2023,Southeast Asia,Container,98,778,416
16-01-2023,East US,VM,84,1372,485
16-01-2023,East US,Storage,66,561,283
16-01-2023,East US,Container,97,1228,386
16-01-2023,West US,VM,68,676,299
16-01-2023,West US,Storage,61,944,432
16-01-2023,West US,Container,68,575,464
16-01-2023,North Europe,VM,56,1217,422
16-01-2023,North Europe,Storage,68,1890,343
16-01-2023,North Europe,Container,54,1622,224
16-01-2023,Southeast Asia,VM,70,1674,343
16-01-2023,Southeast Asia,Storage,88,608,380
16-01-2023,Southeast Asia,Container,91,1709,422
17-01-2023,East US,VM,54,1686,414
17-01-2023,East US,Storage,78,734,345
17-01-2023,East US,Container,96,1087,208
17-01-2023,West US,VM,59,1453,452
17-01-2023,West US,Storage,87,1697,340
17-01-2023,West US,Container,89,669,482
17-01-2023,North Europe,VM,51,528,364
17-01-2023,North Europe,Storage,87,838,335
17-01-2023,North Europe,Container,97,1888,344
17-01-2023,Southeast Asia,VM,56,716,331
17-01-2023,Southeast Asia,Storage,85,1593,451
17-01-2023,Southeast Asia,Container,80,944,381
18-01-2023,East US,VM,88,590,401
18-01-2023,East US,Storage,75,538,325
18-01-2023,East US,Container,52,672,340
18-01-2023,West US,VM,99,1743,325
18-01-2023,West US,Storage,69,975,200
18-01-2023,West US,Container,52,847,389
18-01-2023,North Europe,VM,98,1932,316
18-01-2023,North Europe,Storage,55,557,243
18-01-2023,North Europe,Container,94,1171,372
18-01-2023,Southeast Asia,VM,96,1672,279
18-01-2023,Southeast Asia,Storage,70,702,451
18-01-2023,Southeast Asia,Container,86,1750,346
19-01-2023,East US,VM,69,1964,246
19-01-2023,East US,Storage,90,1828,213
19-01-2023,East US,Container,64,1938,200
19-01-2023,West US,VM,52,1155,211
19-01-2023,West US,Storage,59,1235,471
19-01-2023,West US,Container,57,857,355
19-01-2023,North Europe,VM,57,1645,363
19-01-2023,North Europe,Storage,75,1197,377
19-01-2023,North Europe,Container,77,1231,240
19-01-2023,Southeast Asia,VM,85,1001,344
19-01-2023,Southeast Asia,Storage,58,1428,411
19-01-2023,Southeast Asia,Container,62,1231,439
20-01-2023,East US,VM,78,1408,245
20-01-2023,East US,Storage,84,1776,281
20-01-2023,East US,Container,54,949,209
20-01-2023,West US,VM,79,1765,450
20-01-2023,West US,Storage,94,1528,318
20-01-2023,West US,Container,82,873,264
20-01-2023,North Europe,VM,67,723,438
20-01-2023,North Europe,Storage,98,1352,481
20-01-2023,North Europe,Container,74,1326,482
20-01-2023,Southeast Asia,VM,98,1984,297
20-01-2023,Southeast Asia,Storage,90,1622,205
20-01-2023,Southeast Asia,Container,77,1208,332
21-01-2023,East US,VM,87,1270,222
21-01-2023,East US,Storage,86,1176,401
21-01-2023,East US,Container,59,582,344
21-01-2023,West US,VM,70,1601,200
21-01-2023,West US,Storage,94,1216,459
21-01-2023,West US,Container,50,1380,487
21-01-2023,North Europe,VM,83,1871,294
21-01-2023,North Europe,Storage,57,653,449
21-01-2023,North Europe,Container,83,937,317
21-01-2023,Southeast Asia,VM,52,1829,467
21-01-2023,Southeast Asia,Storage,50,1577,435
21-01-2023,Southeast Asia,Container,54,1489,421
22-01-2023,East US,VM,66,1123,454
22-01-2023,East US,Storage,96,1418,406
22-01-2023,East US,Container,86,1352,265
22-01-2023,West US,VM,60,934,302
22-01-2023,West US,Storage,87,1263,425
22-01-2023,West US,Container,87,1829,297
22-01-2023,North Europe,VM,67,1297,448
22-01-2023,North Europe,Storage,87,1483,229
22-01-2023,North Europe,Container,91,580,332
22-01-2023,Southeast Asia,VM,78,1399,337
22-01-2023,Southeast Asia,Storage,66,1853,472
22-01-2023,Southeast Asia,Container,69,1483,268
23-01-2023,East US,VM,83,552,404
23-01-2023,East US,Storage,92,542,439
23-01-2023,East US,Container,60,610,448
23-01-2023,West US,VM,72,1706,294
23-01-2023,West US,Storage,60,1897,207
23-01-2023,West US,Container,53,859,383
23-01-2023,North Europe,VM,74,1718,394
23-01-2023,North Europe,Storage,76,592,359
23-01-2023,North Europe,Container,99,560,321
23-01-2023,Southeast Asia,VM,68,1528,291
23-01-2023,Southeast Asia,Storage,91,1033,200
23-01-2023,Southeast Asia,Container,54,732,211
24-01-2023,East US,VM,75,1569,233
24-01-2023,East US,Storage,98,1601,417
24-01-2023,East US,Container,94,1596,481
24-01-2023,West US,VM,96,1644,413
24-01-2023,West US,Storage,96,1579,306
24-01-2023,West US,Container,97,836,225
24-01-2023,North Europe,VM,85,1780,207
24-01-2023,North Europe,Storage,98,1776,379
24-01-2023,North Europe,Container,64,802,326
24-01-2023,Southeast Asia,VM,71,1025,227
24-01-2023,Southeast Asia,Storage,72,577,415
24-01-2023,Southeast Asia,Container,51,864,353
25-01-2023,East US,VM,63,1198,206
25-01-2023,East US,Storage,52,1418,437
25-01-2023,East US,Container,92,1797,493
25-01-2023,West US,VM,84,1538,391
25-01-2023,West US,Storage,74,984,227
25-01-2023,West US,Container,59,1562,472
25-01-2023,North Europe,VM,88,585,325
25-01-2023,North Europe,Storage,93,1036,344
25-01-2023,North Europe,Container,62,1735,224
25-01-2023,Southeast Asia,VM,53,1917,266
25-01-2023,Southeast Asia,Storage,90,608,345
25-01-2023,Southeast Asia,Container,96,727,310
26-01-2023,East US,VM,71,533,310
26-01-2023,East US,Storage,57,1892,435
26-01-2023,East US,Container,68,924,300
26-01-2023,West US,VM,55,1191,481
26-01-2023,West US,Storage,83,1966,428
26-01-2023,West US,Container,82,1960,349
26-01-2023,North Europe,VM,70,1123,203
26-01-2023,North Europe,Storage,79,1342,294
26-01-2023,North Europe,Container,73,1322,336
26-01-2023,Southeast Asia,VM,52,742,230
26-01-2023,Southeast Asia,Storage,89,728,235
26-01-2023,Southeast Asia,Container,73,1746,205
27-01-2023,East US,VM,51,967,419
27-01-2023,East US,Storage,60,503,333
27-01-2023,East US,Container,98,1003,261
27-01-2023,West US,VM,51,1346,402
27-01-2023,West US,Storage,57,1549,372
27-01-2023,West US,Container,93,825,317
27-01-2023,North Europe,VM,53,1223,424
27-01-2023,North Europe,Storage,69,612,339
27-01-2023,North Europe,Container,96,500,289
27-01-2023,Southeast Asia,VM,63,819,237
27-01-2023,Southeast Asia,Storage,86,638,458
27-01-2023,Southeast Asia,Container,82,1401,377
28-01-2023,East US,VM,59,760,337
28-01-2023,East US,Storage,93,1397,212
28-01-2023,East US,Container,89,820,300
28-01-2023,West US,VM,58,1284,464
28-01-2023,West US,Storage,60,1410,237
28-01-2023,West US,Container,84,1618,268
28-01-2023,North Europe,VM,93,833,336
28-01-2023,North Europe,Storage,83,1087,234
28-01-2023,North Europe,Container,50,1819,259
28-01-2023,Southeast Asia,VM,78,1372,428
28-01-2023,Southeast Asia,Storage,63,1297,490
28-01-2023,Southeast Asia,Container,70,1688,204
29-01-2023,East US,VM,68,1902,277
29-01-2023,East US,Storage,75,1073,331
29-01-2023,East US,Container,74,1565,288
29-01-2023,West US,VM,67,795,494
29-01-2023,West US,Storage,89,1299,378
29-01-2023,West US,Container,87,1546,262
29-01-2023,North Europe,VM,64,1492,352
29-01-2023,North Europe,Storage,66,1748,303
29-01-2023,North Europe,Container,89,1562,397
29-01-2023,Southeast Asia,VM,55,1078,378
29-01-2023,Southeast Asia,Storage,57,1053,214
29-01-2023,Southeast Asia,Container,96,1812,430
30-01-2023,East US,VM,76,919,356
30-01-2023,East US,Storage,87,1964,296
30-01-2023,East US,Container,86,1934,488
30-01-2023,West US,VM,53,1097,209
30-01-2023,West US,Storage,54,1364,317
30-01-2023,West US,Container,87,1682,427
30-01-2023,North Europe,VM,94,715,383
30-01-2023,North Europe,Storage,64,1680,335
30-01-2023,North Europe,Container,54,1680,246
30-01-2023,Southeast Asia,VM,53,1343,372
30-01-2023,Southeast Asia,Storage,51,1934,294
30-01-2023,Southeast Asia,Container,85,1815,481
31-01-2023,East US,VM,92,1806,268
31-01-2023,East US,Storage,69,510,453
31-01-2023,East US,Container,59,1371,237
31-01-2023,West US,VM,55,1211,222
31-01-2023,West US,Storage,96,845,417
31-01-2023,West US,Container,62,1457,409
31-01-2023,North Europe,VM,74,1492,310
31-01-2023,North Europe,Storage,89,1327,370
31-01-2023,North Europe,Container,61,1503,332
31-01-2023,Southeast Asia,VM,86,626,305
31-01-2023,Southeast Asia,Storage,98,1103,486
31-01-2023,Southeast Asia,Container,58,1513,250
01-02-2023,East US,VM,78,1985,495
01-02-2023,East US,Storage,90,1278,456
01-02-2023,East US,Container,95,1928,309
01-02-2023,West US,VM,85,1705,200
01-02-2023,West US,Storage,89,1160,336
01-02-2023,West US,Container,59,1959,316
01-02-2023,North Europe,VM,75,1436,490
01-02-2023,North Europe,Storage,74,574,493
01-02-2023,North Europe,Container,51,1733,216
01-02-2023,Southeast Asia,VM,92,1454,450
01-02-2023,Southeast Asia,Storage,73,524,379
01-02-2023,Southeast Asia,Container,55,1684,376
02-02-2023,East US,VM,78,562,349
02-02-2023,East US,Storage,75,655,248
02-02-2023,East US,Container,56,1348,283
02-02-2023,West US,VM,90,1188,347
02-02-2023,West US,Storage,71,975,262
02-02-2023,West US,Container,89,1060,456
02-02-2023,North Europe,VM,81,1664,414
02-02-2023,North Europe,Storage,68,1841,231
02-02-2023,North Europe,Container,79,784,485
02-02-2023,Southeast Asia,VM,65,1947,218
02-02-2023,Southeast Asia,Storage,67,1268,277
02-02-2023,Southeast Asia,Container,96,1509,393
03-02-2023,East US,VM,77,1636,313
03-02-2023,East US,Storage,79,1446,331
03-02-2023,East US,Container,50,1787,254
03-02-2023,West US,VM,88,1299,465
03-02-2023,West US,Storage,59,661,286
03-02-2023,West US,Container,77,1701,207
03-02-2023,North Europe,VM,50,812,446
03-02-2023,North Europe,Storage,52,942,454
03-02-2023,North Europe,Container,57,1577,448
03-02-2023,Southeast Asia,VM,96,1752,266
03-02-2023,Southeast Asia,Storage,82,1506,463
03-02-2023,Southeast Asia,Container,83,595,287
04-02-2023,East US,VM,63,1811,319
04-02-2023,East US,Storage,95,990,364
04-02-2023,East US,Container,70,1409,422
04-02-2023,West US,VM,97,506,462
04-02-2023,West US,Storage,82,650,284
04-02-2023,West US,Container,68,1904,235
04-02-2023,North Europe,VM,78,1199,281
04-02-2023,North Europe,Storage,51,1314,396
04-02-2023,North Europe,Container,69,1245,394
04-02-2023,Southeast Asia,VM,72,1642,219
04-02-2023,Southeast Asia,Storage,54,1304,455
04-02-2023,Southeast Asia,Container,79,1404,425
05-02-2023,East US,VM,93,1353,479
05-02-2023,East US,Storage,66,1213,357
05-02-2023,East US,Container,95,627,423
05-02-2023,West US,VM,66,1638,408
05-02-2023,West US,Storage,63,1020,239
05-02-2023,West US,Container,51,736,480
05-02-2023,North Europe,VM,88,1724,445
05-02-2023,North Europe,Storage,71,1758,203
05-02-2023,North Europe,Container,75,941,228
05-02-2023,Southeast Asia,VM,94,1109,414
05-02-2023,Southeast Asia,Storage,86,574,345
05-02-2023,Southeast Asia,Container,70,541,240
06-02-2023,East US,VM,87,533,216
06-02-2023,East US,Storage,86,1676,275
06-02-2023,East US,Container,72,841,226
06-02-2023,West US,VM,80,1145,418
06-02-2023,West US,Storage,89,1109,467
06-02-2023,West US,Container,94,1320,372
06-02-2023,North Europe,VM,66,1421,389
06-02-2023,North Europe,Storage,95,629,392
06-02-2023,North Europe,Container,85,1894,481
06-02-2023,Southeast Asia,VM,78,648,466
06-02-2023,Southeast Asia,Storage,89,510,363
06-02-2023,Southeast Asia,Container,98,686,494
07-02-2023,East US,VM,89,1750,297
07-02-2023,East US,Storage,96,1163,445
07-02-2023,East US,Container,71,568,488
07-02-2023,West US,VM,85,1250,347
07-02-2023,West US,Storage,68,1767,400
07-02-2023,West US,Container,75,1973,272
07-02-2023,North Europe,VM,58,795,216
07-02-2023,North Europe,Storage,50,1740,260
07-02-2023,North Europe,Container,92,541,224
07-02-2023,Southeast Asia,VM,88,630,428
07-02-2023,Southeast Asia,Storage,93,671,301
07-02-2023,Southeast Asia,Container,83,1023,474
08-02-2023,East US,VM,86,1567,216
08-02-2023,East US,Storage,59,511,279
08-02-2023,East US,Container,73,838,463
08-02-2023,West US,VM,80,1160,280
08-02-2023,West US,Storage,72,873,397
08-02-2023,West US,Container,57,965,288
08-02-2023,North Europe,VM,61,988,225
08-02-2023,North Europe,Storage,96,1811,465
08-02-2023,North Europe,Container,65,1210,481
08-02-2023,Southeast Asia,VM,70,1609,449
08-02-2023,Southeast Asia,Storage,56,834,316
08-02-2023,Southeast Asia,Container,56,636,375
09-02-2023,East US,VM,57,1326,414
09-02-2023,East US,Storage,78,1093,422
09-02-2023,East US,Container,79,871,302
09-02-2023,West US,VM,66,1682,351
09-02-2023,West US,Storage,84,1119,387
09-02-2023,West US,Container,94,1621,330
09-02-2023,North Europe,VM,86,1694,382
09-02-2023,North Europe,Storage,72,863,238
09-02-2023,North Europe,Container,64,996,203
09-02-2023,Southeast Asia,VM,78,1481,409
09-02-2023,Southeast Asia,Storage,82,515,307
09-02-2023,Southeast Asia,Container,51,810,426
10-02-2023,East US,VM,91,1045,450
10-02-2023,East US,Storage,62,1664,473
10-02-2023,East US,Container,81,1562,228
10-02-2023,West US,VM,98,976,444
10-02-2023,West US,Storage,93,1196,471
10-02-2023,West US,Container,93,1762,465
10-02-2023,North Europe,VM,79,1420,264
10-02-2023,North Europe,Storage,79,502,341
10-02-2023,North Europe,Container,79,823,345
10-02-2023,Southeast Asia,VM,86,931,392
10-02-2023,Southeast Asia,Storage,95,1084,339
10-02-2023,Southeast Asia,Container,86,560,397
11-02-2023,East US,VM,88,1963,210
11-02-2023,East US,Storage,62,725,352
11-02-2023,East US,Container,56,1063,459
11-02-2023,West US,VM,57,1833,442
11-02-2023,West US,Storage,94,1889,306
11-02-2023,West US,Container,83,1324,417
11-02-2023,North Europe,VM,90,1252,458
11-02-2023,North Europe,Storage,55,553,246
11-02-2023,North Europe,Container,72,1188,208
11-02-2023,Southeast Asia,VM,84,1543,440
11-02-2023,Southeast Asia,Storage,91,918,377
11-02-2023,Southeast Asia,Container,67,561,344
12-02-2023,East US,VM,73,502,359
12-02-2023,East US,Storage,84,1280,319
12-02-2023,East US,Container,96,1612,267
12-02-2023,West US,VM,63,1880,297
12-02-2023,West US,Storage,60,1451,322
12-02-2023,West US,Container,77,1718,425
12-02-2023,North Europe,VM,61,669,208
12-02-2023,North Europe,Storage,64,539,224
12-02-2023,North Europe,Container,54,1918,425
12-02-2023,Southeast Asia,VM,73,1647,237
12-02-2023,Southeast Asia,Storage,57,1774,375
12-02-2023,Southeast Asia,Container,75,1413,236
13-02-2023,East US,VM,97,1472,483
13-02-2023,East US,Storage,54,1472,280
13-02-2023,East US,Container,99,1563,423
13-02-2023,West US,VM,78,614,385
13-02-2023,West US,Storage,52,1563,239
13-02-2023,West US,Container,76,1812,461
13-02-2023,North Europe,VM,73,1670,367
13-02-2023,North Europe,Storage,77,852,258
13-02-2023,North Europe,Container,97,1280,244
13-02-2023,Southeast Asia,VM,74,1693,390
13-02-2023,Southeast Asia,Storage,76,921,387
13-02-2023,Southeast Asia,Container,56,632,434
14-02-2023,East US,VM,94,1325,448
14-02-2023,East US,Storage,80,1034,359
14-02-2023,East US,Container,92,1960,357
14-02-2023,West US,VM,88,581,457
14-02-2023,West US,Storage,63,1088,211
14-02-2023,West US,Container,88,1747,212
14-02-2023,North Europe,VM,95,1636,432
14-02-2023,North Europe,Storage,66,859,422
14-02-2023,North Europe,Container,83,1199,362
14-02-2023,Southeast Asia,VM,97,1849,273
14-02-2023,Southeast Asia,Storage,90,1747,259
14-02-2023,Southeast Asia,Container,64,1745,236
15-02-2023,East US,VM,78,777,395
15-02-2023,East US,Storage,69,983,441
15-02-2023,East US,Container,53,1230,391
15-02-2023,West US,VM,66,1023,392
15-02-2023,West US,Storage,71,973,319
15-02-2023,West US,Container,67,805,469
15-02-2023,North Europe,VM,96,784,403
15-02-2023,North Europe,Storage,85,1262,426
15-02-2023,North Europe,Container,61,1530,228
15-02-2023,Southeast Asia,VM,60,1556,333
15-02-2023,Southeast Asia,Storage,96,578,257
15-02-2023,Southeast Asia,Container,72,1953,425
16-02-2023,East US,VM,78,1015,298
16-02-2023,East US,Storage,62,538,470
16-02-2023,East US,Container,78,656,274
16-02-2023,West US,VM,81,1653,374
16-02-2023,West US,Storage,63,1607,221
16-02-2023,West US,Container,60,1348,435
16-02-2023,North Europe,VM,77,1488,220
16-02-2023,North Europe,Storage,96,1368,283
16-02-2023,North Europe,Container,55,1976,456
16-02-2023,Southeast Asia,VM,87,1685,362
16-02-2023,Southeast Asia,Storage,98,1292,479
16-02-2023,Southeast Asia,Container,61,1794,407
17-02-2023,East US,VM,76,1583,344
17-02-2023,East US,Storage,78,1832,207
17-02-2023,East US,Container,64,1550,373
17-02-2023,West US,VM,99,698,380
17-02-2023,West US,Storage,73,877,245
17-02-2023,West US,Container,64,1676,421
17-02-2023,North Europe,VM,63,954,472
17-02-2023,North Europe,Storage,93,1020,365
17-02-2023,North Europe,Container,97,1516,413
17-02-2023,Southeast Asia,VM,51,1867,271
17-02-2023,Southeast Asia,Storage,60,1587,404
17-02-2023,Southeast Asia,Container,66,571,476
18-02-2023,East US,VM,67,1843,294
18-02-2023,East US,Storage,87,510,416
18-02-2023,East US,Container,82,601,466
18-02-2023,West US,VM,71,1611,240
18-02-2023,West US,Storage,66,1087,245
18-02-2023,West US,Container,81,1986,279
18-02-2023,North Europe,VM,71,591,347
18-02-2023,North Europe,Storage,82,1213,441
18-02-2023,North Europe,Container,82,501,424
18-02-2023,Southeast Asia,VM,82,1088,315
18-02-2023,Southeast Asia,Storage,75,1417,302
18-02-2023,Southeast Asia,Container,51,1689,289
19-02-2023,East US,VM,95,621,342
19-02-2023,East US,Storage,83,605,322
19-02-2023,East US,Container,55,508,461
19-02-2023,West US,VM,58,1882,422
19-02-2023,West US,Storage,81,1052,403
19-02-2023,West US,Container,57,1841,283
19-02-2023,North Europe,VM,96,750,206
19-02-2023,North Europe,Storage,60,1607,407
19-02-2023,North Europe,Container,53,1913,221
19-02-2023,Southeast Asia,VM,75,1394,202
19-02-2023,Southeast Asia,Storage,90,1373,213
19-02-2023,Southeast Asia,Container,60,1477,211
20-02-2023,East US,VM,72,1408,224
20-02-2023,East US,Storage,94,1766,321
20-02-2023,East US,Container,68,1249,372
20-02-2023,West US,VM,57,808,382
20-02-2023,West US,Storage,81,806,499
20-02-2023,West US,Container,67,1413,410
20-02-2023,North Europe,VM,71,1048,258
20-02-2023,North Europe,Storage,52,1423,401
20-02-2023,North Europe,Container,84,944,292
20-02-2023,Southeast Asia,VM,64,852,412
20-02-2023,Southeast Asia,Storage,80,1456,223
20-02-2023,Southeast Asia,Container,69,1304,203
21-02-2023,East US,VM,77,1887,219
21-02-2023,East US,Storage,73,1446,295
21-02-2023,East US,Container,90,919,449
21-02-2023,West US,VM,83,1077,461
21-02-2023,West US,Storage,88,1254,385
21-02-2023,West US,Container,61,1760,217
21-02-2023,North Europe,VM,89,520,424
21-02-2023,North Europe,Storage,84,1293,207
21-02-2023,North Europe,Container,85,1251,286
21-02-2023,Southeast Asia,VM,91,1439,213
21-02-2023,Southeast Asia,Storage,63,501,492
21-02-2023,Southeast Asia,Container,54,1504,240
22-02-2023,East US,VM,96,513,430
22-02-2023,East US,Storage,74,1607,329
22-02-2023,East US,Container,88,1337,344
22-02-2023,West US,VM,74,527,265
22-02-2023,West US,Storage,84,1752,460
22-02-2023,West US,Container,50,1947,363
22-02-2023,North Europe,VM,94,1418,486
22-02-2023,North Europe,Storage,60,1533,394
22-02-2023,North Europe,Container,63,1091,292
22-02-2023,Southeast Asia,VM,59,1343,456
22-02-2023,Southeast Asia,Storage,54,1799,463
22-02-2023,Southeast Asia,Container,92,1471,200
23-02-2023,East US,VM,69,1807,320
23-02-2023,East US,Storage,92,1186,403
23-02-2023,East US,Container,86,804,319
23-02-2023,West US,VM,93,655,406
23-02-2023,West US,Storage,55,1119,450
